filename,shape,nonzero_count,total_elements,zero_count,sparsity
Tabula_Muris_kidney_filtered.h5ad,1817x21069,2965228,38282373,35317145,0.9225432550902736
Tabula_Sapiens_trachea_filtered.h5ad,22592x61759,73572792,1395259328,1321686536,0.947269449826606
Tabula_Sapiens_liver_filtered.h5ad,22206x61759,62739425,1371420354,1308680929,0.9542522284892383
Tabula_Sapiens_lung_10percent_filtered.h5ad,6530x61759,24676170,403286270,378610100,0.9388122734751173
Tabula_Sapiens_lung_filtered.h5ad,65792x61759,250356981,4063248128,3812891147,0.9383850128977406
Tabula_Sapiens_liver_10percent_filtered.h5ad,2152x61759,6090108,132905368,126815260,0.9541771104384588
Tabula_Muris_limb_muscle_filtered.h5ad,3855x21069,6997396,81220995,74223599,0.9138474479412619
Tabula_Muris_lung_filtered.h5ad,5167x21069,10990118,108863523,97873405,0.8990468276504334
Tabula_Sapiens_ear_filtered.h5ad,3029x61759,11916864,187068011,175151147,0.9362966231570186
Steady_state_B_cells_filtered.h5ad,1324x19149,2236964,25353276,23116312,0.9117682464388428
Tabula_Muris_brain_filtered.h5ad,13417x21069,23089314,282682773,259593459,0.9183207602113058
Tabula_Sapiens_ear_utricle_filtered.h5ad,611x61759,2358843,37734749,35375906,0.9374888382058669
Tabula_Muris_liver_filtered.h5ad,2859x21069,7108454,60236271,53127817,0.8819904704924381
Tabula_Sapiens_testis_filtered.h5ad,7494x61759,28190409,462821946,434631537,0.9390901636284983
Tabula_Sapiens_ear_crista_ampullaris_filtered.h5ad,2357x61759,9334909,145565963,136231054,0.9358716226814644
human_glioblastoma_filtered.h5ad,3589x22149,9008563,79492761,70484198,0.8866744230962113
